Datum,Startzeit,Endzeit,Dauer,Dauer (rel.),Projekt,Beschreibung
9/4/17,10:15 vorm.,11:45 vorm.,01:30:00,01:30:00,ATÜ Software,
9/5/17,9:00 vorm.,10:59 vorm.,01:59:00,01:28:00,ATÜ Software,
9/5/17,11:00 vorm.,11:50 vorm.,00:50:00,00:32:00,ATÜ Software,"Vpn, emails, readerskripte"
9/5/17,12:41 nachm.,4:21 nachm.,03:40:00,03:07:00,ATÜ Software,"Dräger account freigeschaltet, Code einarbeitung "
9/6/17,9:00 vorm.,3:16 nachm.,06:16:00,05:25:00,ATÜ Software,"SQLExpressServer hinzugefugt
SprontPlanning"
9/13/17,10:45 vorm.,2:45 nachm.,04:00:00,01:44:00,ATÜ Software,Telco wegen Berechtigungskobzept + kurze Vorbereitung
9/14/17,9:30 vorm.,4:25 nachm.,06:55:00,05:55:00,ATÜ Software,Berechtigungskonzept
9/15/17,8:59 vorm.,4:57 nachm.,07:58:00,04:12:00,ATÜ Software,
9/19/17,12:54 nachm.,5:26 nachm.,04:32:00,04:32:00,ATÜ Software,LoginScreen gebaut
9/19/17,6:50 nachm.,7:34 nachm.,00:44:00,00:44:00,ATÜ Software,Verschlüsselung von Matthias Bölke angeschaut
9/19/17,7:30 nachm.,8:24 nachm.,00:54:00,00:54:00,ATÜ Software,Mehrsprachigkeit auf Login angefangen und abgeschatzt
9/20/17,2:28 nachm.,5:06 nachm.,02:38:00,02:38:00,ATÜ Software,"Kurz Mehrsprachigkeit auf Login Screen eingefügt, dann Sprint Planning Telco"
9/21/17,11:15 vorm.,7:36 nachm.,08:21:00,06:10:00,ATÜ Software,"LoginScreen erweitert, Identitys und Principals implementiert, databinding mit aktuellem Prinzipal etc."
9/22/17,9:50 vorm.,10:59 vorm.,01:09:00,01:09:00,ATÜ Software,Sprint Review
9/22/17,10:59 vorm.,1:08 nachm.,02:09:00,02:09:00,ATÜ Software,"Login, Useranzeige und Visibility integriert"
9/22/17,2:42 nachm.,3:58 nachm.,01:16:00,01:16:00,ATÜ Software,Gepusht und emails dazu versendent auch an vanessa fur das berexhtigungskonzept
10/5/17,9:29 vorm.,1:56 nachm.,04:27:00,04:27:00,ATÜ Software,"Planning, dann hashing bauen und benutzerverwaltungs tab einbauen"
10/5/17,3:13 nachm.,6:53 nachm.,03:40:00,03:40:00,ATÜ Software,"UserManager und AuthrnticationKlassen angrpasst
oberflache fur Brnutzerverwaltung gebaut"
10/6/17,9:40 vorm.,1:52 nachm.,04:12:00,04:12:00,ATÜ Software,Oberfläche gebaut mit Logik dahibter
10/6/17,2:37 nachm.,5:05 nachm.,02:28:00,02:28:00,ATÜ Software,Datenbank ablage eines neuen Zsers
10/9/17,9:55 vorm.,12:48 nachm.,02:53:00,02:53:00,ATÜ Software,CodeReview und Beaprechung von Benutzrtverwaltung
10/10/17,2:12 nachm.,7:23 nachm.,05:11:00,05:11:00,ATÜ Software,SqlDatenbank ablage von Rollen etc
10/11/17,9:58 vorm.,11:39 vorm.,01:41:00,01:41:00,ATÜ Software,Skypekonferenz zu Verachlüsselung
10/13/17,4:44 nachm.,7:17 nachm.,02:33:00,02:33:00,ATÜ Software,Neues Ablagesystem für die Rollen hinzugefügt und alle Anderungen angepasst
10/16/17,9:04 vorm.,1:55 nachm.,04:51:00,04:51:00,ATÜ Software,Authentifizierungsvorgang gegen Datenbank implementiert
10/16/17,3:06 nachm.,5:18 nachm.,02:12:00,02:12:00,ATÜ Software,benutzetanzeige in Gridview RoleConverter editiert
10/16/17,7:07 nachm.,8:26 nachm.,01:19:00,01:19:00,ATÜ Software,
10/18/17,9:02 vorm.,12:10 nachm.,03:08:00,03:08:00,ATÜ Software,"Datenschutzkobferenz Termin,
Probleme mit Thread.CurrentPrincipal gelöst"
10/18/17,3:39 nachm.,7:20 nachm.,03:41:00,03:41:00,ATÜ Software,
10/23/17,9:07 vorm.,5:21 nachm.,08:14:00,06:57:00,ATÜ Software,
